id,timestamp,amount,currency,type,src,dst,component_id,is_fraud,anomaly_type,incident_id
tx-3d21dadd03,2026-07-19T14:03:45Z,188.84,USD,crypto_withdrawal,ACC-1187,ACC-7701,payment-gateway,False,,
tx-f3f3992a44,2026-07-19T14:06:10Z,1317.19,USD,crypto_withdrawal,ACC-0042,EXT-US-883,payment-service,False,,
tx-057c08c2fa,2026-07-19T14:09:04Z,458.73,USD,refund,ACC-2291,MERCH-SHOPIFY,order-service,False,,
tx-56a6abfe22,2026-07-19T14:11:50Z,454.89,USD,inter_account,ACC-5512,MERCH-PAYPAL,payment-gateway,False,,
tx-3e484ab47f,2026-07-19T14:15:46Z,1148.49,USD,refund,ACC-3354,MERCH-AMZN,payment-gateway,False,,
tx-96d02cac14,2026-07-19T14:18:16Z,458.92,USD,p2p_transfer,ACC-6673,EXT-US-883,payment-service,False,,
tx-e2c850317a,2026-07-19T14:21:59Z,783.44,USD,ach_payment,ACC-9902,ACC-6673,order-service,False,,
tx-7389abb35f,2026-07-19T14:26:15Z,211.19,USD,crypto_withdrawal,ACC-5512,ACC-2291,payment-service,False,,
tx-c8b7ef65c0,2026-07-19T14:30:27Z,211.24,USD,inter_account,ACC-7701,ACC-9902,order-service,False,,
tx-07730bc972,2026-07-19T14:32:54Z,242.74,USD,refund,ACC-2291,EXT-LATAM-16,order-service,False,,
tx-a74bf83fa2,2026-07-19T14:36:11Z,216.29,USD,crypto_withdrawal,ACC-9902,ACC-5512,payment-service,False,,
tx-ab6b922674,2026-07-19T14:38:11Z,551.87,USD,wire_transfer,ACC-8834,MERCH-AMZN,payment-gateway,False,,
tx-05ecaadf2e,2026-07-19T14:39:52Z,218.96,USD,wire_transfer,ACC-7701,MERCH-STRIPE,payment-service,False,,
tx-69defe7d98,2026-07-19T14:42:28Z,869.16,USD,inter_account,ACC-4480,ACC-5512,payment-service,False,,
tx-6c20b17bc2,2026-07-19T14:45:10Z,349.84,USD,inter_account,ACC-7701,ACC-3354,payment-service,False,,
tx-cae026575a,2026-07-19T14:47:49Z,757.3,USD,inter_account,ACC-0042,MERCH-AMZN,payment-service,False,,
tx-ed753448a8,2026-07-19T14:49:28Z,753.01,USD,crypto_withdrawal,ACC-2291,ACC-1187,payment-gateway,False,,
tx-0d4cc3fdd4,2026-07-19T14:51:30Z,143.83,USD,refund,ACC-1187,ACC-3354,payment-service,False,,
